trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
84,80,8e-05,8,,0.02196179999737069,2478,1.0,0.0,54,6,508,0.2050040355125101,45.888888888888886,19.5,60,155,0.8127944985253542,281.9453125
85,80,0.0001,4,,0.022781800013035536,2478,1.0,0.0,62,6,506,0.20419693301049233,39.96774193548387,14.0,65,170,0.8129166937314202,281.9453125
86,80,0.0001,8,,0.028940999996848404,2478,1.0,0.0,54,6,508,0.2050040355125101,45.888888888888886,19.5,60,155,0.8124626418845005,281.94921875
87,80,0.00015,4,,0.02647609997075051,2478,1.0,0.0,62,6,506,0.20419693301049233,39.96774193548387,14.0,65,170,0.8127407514066676,281.94921875
88,80,0.00015,8,,0.030650199973024428,2478,1.0,0.0,54,6,508,0.2050040355125101,45.888888888888886,19.5,60,155,0.8123820556027755,281.94921875
89,80,0.0002,4,,0.02414410002529621,2478,1.0,0.0,62,6,506,0.20419693301049233,39.96774193548387,14.0,65,170,0.8128516659846095,281.94921875
90,80,0.0002,8,,0.021920700033660978,2478,1.0,0.0,54,6,508,0.2050040355125101,45.888888888888886,19.5,60,155,0.8127964662285178,281.953125
91,80,0.0003,4,,0.048047399963252246,2478,1.0,0.0,62,6,506,0.20419693301049233,39.96774193548387,14.0,65,170,0.8117381771333516,281.953125
92,80,0.0003,8,,0.02239150000968948,2478,1.0,0.0,54,6,508,0.2050040355125101,45.888888888888886,19.5,60,155,0.8127739356672935,281.953125
93,80,0.0005,4,,0.026464099995791912,2478,0.9971751412429378,0.0028248587570621764,58,6,506,0.2047753945770943,42.60344827586207,15.5,64,176,0.8119194138568878,281.953125
94,80,0.0005,8,,0.030464300012681633,2478,0.9971751412429378,0.0028248587570621764,52,6,508,0.2055847834884662,47.51923076923077,20.5,58,159,0.81156844327298,281.953125
95,80,0.001,4,,0.02273669996066019,2478,0.9891041162227603,0.010895883777239712,52,6,506,0.20644634842921256,47.13461538461539,20.0,47,152,0.8097449954624201,281.953125
96,80,0.001,8,,0.02703940001083538,2478,0.9891041162227603,0.010895883777239712,47,6,506,0.20644634842921256,52.148936170212764,23.0,43,134,0.809540181230658,281.953125
97,120,5e-06,4,,0.028525699977762997,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.8313896687001971,281.953125
98,120,5e-06,8,,0.021830599987879395,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8311432142445134,281.953125
99,120,1e-05,4,,0.0268999999971129,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.8314666290624166,281.96484375
100,120,1e-05,8,,0.022303199977613986,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.831120593594106,281.96484375
101,120,2e-05,4,,0.020939200010616332,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.831750909202363,281.96484375
102,120,2e-05,8,,0.02964670001529157,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8307717705613564,281.96484375
103,120,3e-05,4,,0.02108749997569248,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.831743796277614,281.96484375
104,120,3e-05,8,,0.021611000003758818,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8311537323578022,281.96484375
105,120,5e-05,4,,0.0251698000356555,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.8315488045603744,281.9765625
106,120,5e-05,8,,0.012971899996045977,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8315711353396374,281.9765625
107,120,8e-05,4,,0.01218620000872761,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.8321744221008023,281.9765625
108,120,8e-05,8,,0.013140800001565367,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8315629066162249,281.9765625
109,120,0.0001,4,,0.011275800003204495,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.8322188926230286,281.9765625
110,120,0.0001,8,,0.012785000028088689,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8315802442110768,281.9765625
111,120,0.00015,4,,0.012634499988052994,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.8321525532686272,281.9765625
112,120,0.00015,8,,0.013928400003351271,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8315245713379682,281.9765625
113,120,0.0002,4,,0.01229000004241243,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.8321693568361652,281.9765625
114,120,0.0002,8,,0.010326499992515892,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8317003769056471,281.9765625
115,120,0.0003,4,,0.01174310001078993,2478,1.0,0.0,74,7,337,0.13599677158999193,33.486486486486484,11.0,70,196,0.8321960563132027,281.9765625
116,120,0.0003,8,,0.014744099986273795,2478,1.0,0.0,64,7,344,0.13882163034705408,38.71875,14.0,66,190,0.8314849310651391,281.9765625
117,120,0.0005,4,,0.010684300039429218,2478,0.9963680387409201,0.003631961259079941,69,7,337,0.13649250708788985,35.78260869565217,13.0,70,192,0.8312406912817627,281.9765625
118,120,0.0005,8,,0.011967499973252416,2478,0.9963680387409201,0.003631961259079941,60,7,344,0.13932766302146618,41.15,17.0,64,183,0.8306109290896061,281.98046875
119,120,0.001,4,,0.03230149997398257,2478,0.986682808716707,0.013317191283293006,62,7,337,0.1378323108384458,39.435483870967744,17.0,52,191,0.8275154525802526,281.98046875
120,120,0.001,8,,0.02386410004692152,2478,0.986682808716707,0.013317191283293006,54,7,344,0.1406952965235174,45.27777777777778,20.5,48,179,0.8273419995903161,281.984375
121,200,5e-06,4,,0.033800399978645146,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.8260356792152261,281.98828125
122,200,5e-06,8,,0.027237500005867332,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8366300503176908,281.98828125
123,200,1e-05,4,,0.022582300007343292,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.8265662634519053,281.98828125
124,200,1e-05,8,,0.029477300005964935,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8365241513797546,281.98828125
125,200,2e-05,4,,0.023538899957202375,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.826520565395006,281.98828125
126,200,2e-05,8,,0.024534700030926615,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8367584566298565,281.98828125
127,200,3e-05,4,,0.02989569999044761,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.8262190489828874,281.98828125
128,200,3e-05,8,,0.0420913000125438,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8359362556763432,281.98828125
129,200,5e-05,4,,0.03411079995566979,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.8260211618462486,281.98828125
130,200,5e-05,8,,0.03562059998512268,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8362360440738018,281.98828125
131,200,8e-05,4,,0.02254279999760911,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.8265681522582838,281.98828125
132,200,8e-05,8,,0.05946720001520589,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8351493475562943,281.98828125
133,200,0.0001,4,,0.024739600019529462,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.8264633271030818,281.98828125
134,200,0.0001,8,,0.020961400005035102,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8369292627752072,281.98828125
135,200,0.00015,4,,0.028590800007805228,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.826280639145289,281.98828125
136,200,0.00015,8,,0.021705100021790713,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8368936149605166,281.98828125
137,200,0.0002,4,,0.021416400035377592,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.8266220757876757,281.98828125
138,200,0.0002,8,,0.02616370003670454,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8366809840942294,281.98828125
139,200,0.0003,4,,0.023211600026115775,2478,1.0,0.0,84,6,337,0.13599677158999193,29.5,11.0,78,216,0.8265361913334929,281.98828125
140,200,0.0003,8,,0.02166860003490001,2478,1.0,0.0,75,8,337,0.13599677158999193,33.04,11.0,73,199,0.8368953633053947,281.9921875
141,200,0.0005,4,,0.0294008000055328,2478,0.9963680387409201,0.003631961259079941,77,6,337,0.13649250708788985,32.064935064935064,13.0,70,187,0.825235252043995,281.9921875
142,200,0.0005,8,,0.0244302999926731,2478,0.9963680387409201,0.003631961259079941,69,8,337,0.13649250708788985,35.78260869565217,13.0,65,171,0.8357562927092361,281.9921875
143,200,0.001,4,,0.02881710004294291,2478,0.9842615012106537,0.0157384987893463,66,6,335,0.13735137351373514,36.95454545454545,20.5,52,180,0.8220644016972078,281.9921875
144,200,0.001,8,,0.020854300004430115,2478,0.9842615012106537,0.0157384987893463,60,8,335,0.13735137351373514,40.65,18.0,48,165,0.832728855601937,281.9921875
145,300,5e-06,4,,0.022347600024659187,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.831683441244669,281.9921875
146,300,5e-06,8,,0.05688760004704818,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8300851167562227,281.9921875
147,300,1e-05,4,,0.03621620003832504,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8310288749062501,281.9921875
148,300,1e-05,8,,0.0228845999808982,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8316577657373995,281.99609375
149,300,2e-05,4,,0.03333779994864017,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8311632839433418,281.99609375
150,300,2e-05,8,,0.02334559999871999,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8316357455008623,281.99609375
151,300,3e-05,4,,0.025635099969804287,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8315266779791548,281.99609375
152,300,3e-05,8,,0.03727160004200414,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8309797791187319,281.99609375
153,300,5e-05,4,,0.029936600010842085,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8313230738558112,281.99609375
154,300,5e-05,8,,0.03170200000749901,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8312400030617703,281.99609375
155,300,8e-05,4,,0.028422100003808737,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8313945658467599,281.99609375
156,300,8e-05,8,,0.029809099971316755,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8313290843904864,282.01171875
157,300,0.0001,4,,0.033001999952830374,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8311790131642542,282.01171875
158,300,0.0001,8,,0.027521200012415648,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8314371928100819,282.01171875
159,300,0.00015,4,,0.03339120000600815,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8311607835711936,282.01171875
160,300,0.00015,8,,0.028508500021416694,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8313904816698154,282.01171875
161,300,0.0002,4,,0.024273500021081418,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8315914833080068,282.01171875
162,300,0.0002,8,,0.04447510000318289,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8306473316854739,282.01171875
163,300,0.0003,4,,0.039889900013804436,2478,1.0,0.0,88,7,337,0.13599677158999193,28.15909090909091,11.0,78,215,0.8308584096200828,282.01171875
164,300,0.0003,8,,0.028108200000133365,2478,1.0,0.0,80,7,337,0.13599677158999193,30.975,11.0,77,215,0.8314094098520817,282.01171875
165,300,0.0005,4,,0.049810800002887845,2478,0.9951573849878934,0.004842615012106588,82,7,337,0.13665855636658555,30.073170731707318,14.5,75,205,0.8290610152788076,282.01171875
166,300,0.0005,8,,0.08439069997984916,2478,0.9951573849878934,0.004842615012106588,74,7,337,0.13665855636658555,33.32432432432432,13.0,70,203,0.8275422281203066,282.015625
167,300,0.001,4,,0.04010499996365979,2478,0.9822437449556094,0.0177562550443906,69,7,337,0.13845521774856204,35.27536231884058,22.0,55,188,0.8259177129786496,282.015625
168,300,0.001,8,,0.028096100024413317,2478,0.9822437449556094,0.0177562550443906,62,7,337,0.13845521774856204,39.25806451612903,20.0,52,187,0.826479229235999,282.015625
169,500,5e-06,4,,0.02456819999497384,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8214379605080719,282.015625
170,500,5e-06,8,,0.024020100012421608,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8264976101020969,282.01953125
171,500,1e-05,4,,0.029807799961417913,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8211896637290814,282.04296875
172,500,1e-05,8,,0.021611200005281717,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8266127417313427,282.04296875
173,500,2e-05,4,,0.024817899975460023,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8214260699856009,282.04296875
174,500,2e-05,8,,0.028426900040358305,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8262883861319531,282.046875
175,500,3e-05,4,,0.023377699952106923,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8214947309922467,282.046875
176,500,3e-05,8,,0.03306320001138374,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8260701929314884,282.046875
177,500,5e-05,4,,0.03388870001072064,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8209980193893639,282.046875
178,500,5e-05,8,,0.03608759999042377,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8259289112473074,282.046875
179,500,8e-05,4,,0.040064700006041676,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8207108466929208,282.046875
180,500,8e-05,8,,0.03438780002761632,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8260082139436797,282.046875
181,500,0.0001,4,,0.036860099993646145,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8208594277060394,282.046875
182,500,0.0001,8,,0.04288089997135103,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.825614556801027,282.046875
183,500,0.00015,4,,0.031051099998876452,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8211311160634056,282.046875
184,500,0.00015,8,,0.044119899976067245,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8255576641428423,282.046875
185,500,0.0002,4,,0.03790380002465099,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8208109358914192,282.046875
186,500,0.0002,8,,0.03530220000538975,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8259655210408783,282.046875
187,500,0.0003,4,,0.06058769999071956,2478,1.0,0.0,108,5,337,0.13599677158999193,22.944444444444443,9.0,94,237,0.8197805876371688,282.046875
188,500,0.0003,8,,0.04231290001189336,2478,1.0,0.0,94,6,337,0.13599677158999193,26.361702127659573,11.0,87,230,0.8256406835566258,282.046875
189,500,0.0005,4,,0.028495099977590144,2478,0.9947538337368845,0.00524616626311547,99,5,337,0.13671399594320488,24.8989898989899,11.0,85,235,0.819796646662568,282.046875
190,500,0.0005,8,,0.17847760004224256,2478,0.9947538337368845,0.00524616626311547,87,6,337,0.13671399594320488,28.333333333333332,13.0,81,232,0.8186430772657048,282.046875
191,500,0.001,4,,0.07022240001242608,2478,0.9786117836965295,0.021388216303470542,84,5,335,0.13814432989690723,28.86904761904762,20.0,63,196,0.8135796099740891,282.046875
192,500,0.001,8,,0.042967200046405196,2478,0.9786117836965295,0.021388216303470542,75,6,335,0.13814432989690723,32.333333333333336,20.0,61,190,0.8198340239394277,282.046875
