trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
152,300,3e-05,8,,0.019857599982060492,35881,0.9985786349321368,0.0014213650678631673,204,42,3683,0.10279095729835333,175.63725490196077,18.0,517,3751,0.9781129195946283,352.6640625
154,300,5e-05,8,,0.02084760001162067,35881,0.9985786349321368,0.0014213650678631673,204,42,3683,0.10279095729835333,175.63725490196077,18.0,517,3751,0.9780653746043215,357.125
183,500,0.00015,4,,0.01770079997368157,35881,0.985479780385162,0.01452021961483796,252,65,3105,0.08781108597285067,140.31746031746033,29.0,769,4641,0.9779380813428231,357.08203125
184,500,0.00015,8,,0.018944199953693897,35881,0.985479780385162,0.01452021961483796,216,56,3105,0.08781108597285067,163.7037037037037,31.0,657,4322,0.9778781284224479,357.07421875
123,200,1e-05,4,,0.017147700011264533,35881,1.0,0.0,205,45,3823,0.10654664028315822,175.02926829268293,16.0,502,3632,0.9778477412652047,356.23046875
125,200,2e-05,4,,0.017703999998047948,35881,1.0,0.0,205,45,3823,0.10654664028315822,175.02926829268293,16.0,502,3632,0.9778208709011164,356.234375
121,200,5e-06,4,,0.021466300007887185,35881,1.0,0.0,205,45,3823,0.10654664028315822,175.02926829268293,16.0,502,3632,0.9776399128528472,355.58984375
156,300,8e-05,8,,0.01771129999542609,35881,0.9962375630556563,0.00376243694434375,188,43,3681,0.10297655681754601,190.13829787234042,21.5,506,3833,0.9775939259494456,356.96484375
129,200,5e-05,4,,0.016972800018265843,35881,0.9989688135782169,0.0010311864217831257,189,45,3823,0.10665662314473831,189.65079365079364,19.0,472,3629,0.9775764021690859,355.8984375
155,300,8e-05,4,,0.018228499975521117,35881,0.9962375630556563,0.00376243694434375,213,47,3681,0.10297655681754601,167.82159624413146,19.0,584,4075,0.9775689708871409,356.30859375
231,1000,0.00015,4,,0.022230900009162724,35881,0.9751679161673309,0.024832083832669105,426,75,2665,0.07616461846241783,82.13615023474179,25.0,1111,5199,0.9774716836014904,356.91796875
127,200,3e-05,4,,0.02006120001897216,35881,0.9989688135782169,0.0010311864217831257,189,45,3823,0.10665662314473831,189.65079365079364,19.0,472,3629,0.9774275456078216,357.265625
131,200,8e-05,4,,0.017428499995730817,35881,0.9971293999609822,0.0028706000390178454,174,45,3821,0.10679747330761921,205.6206896551724,22.5,455,3555,0.9770663577961776,355.89453125
158,300,0.0001,8,,0.016963599948212504,35881,0.9938128814693014,0.006187118530698643,175,43,3681,0.10322779662918197,203.7657142857143,24.0,468,3772,0.976973629226138,356.95703125
157,300,0.0001,4,,0.019406499981414527,35881,0.9938128814693014,0.006187118530698643,200,47,3681,0.10322779662918197,178.295,24.0,551,4018,0.976855808175053,356.29296875
133,200,0.0001,4,,0.018792000017128885,35881,0.9952063766338731,0.004793623366126876,162,46,3821,0.10700383656781204,220.42592592592592,27.0,439,3608,0.9764785581179816,355.890625
207,800,0.00015,4,,0.020604899968020618,35881,0.9783172152392631,0.02168278476073693,357,68,3007,0.08566219411446316,98.32773109243698,27.0,1004,5059,0.9764374195115649,357.33203125
257,1400,0.0002,4,,0.018064200005028397,35881,0.9498063041721245,0.05019369582787547,467,77,1731,0.05079225352112676,72.9764453961456,25.0,1205,5176,0.9764059416029992,357.046875
122,200,5e-06,8,,0.017851299955509603,35881,1.0,0.0,185,40,4134,0.11521418020679468,193.95135135135135,15.0,447,3260,0.9760802529620992,356.22265625
126,200,2e-05,8,,0.018132299999706447,35881,1.0,0.0,185,40,4134,0.11521418020679468,193.95135135135135,15.0,447,3260,0.976066695205233,356.23046875
208,800,0.00015,8,,0.018950400000903755,35881,0.9783172152392631,0.02168278476073693,292,60,3101,0.08834002791784178,120.21575342465754,29.0,805,4693,0.9759814001663965,357.10546875
124,200,1e-05,8,,0.02071130002150312,35881,1.0,0.0,185,40,4134,0.11521418020679468,193.95135135135135,15.0,447,3260,0.97594261165472,356.2265625
159,300,0.00015,4,,0.017099899996537715,35881,0.989827485298626,0.010172514701374036,180,47,3681,0.10364342831399932,197.3111111111111,30.0,528,3958,0.9758875651880666,356.27734375
160,300,0.00015,8,,0.018313599983230233,35881,0.989827485298626,0.010172514701374036,158,44,3681,0.10364342831399932,224.78481012658227,32.5,454,3739,0.9758289734749855,356.95703125
130,200,5e-05,8,,0.02003710001008585,35881,0.9989688135782169,0.0010311864217831257,169,40,4134,0.11533311014395715,212.09467455621302,18.0,410,3245,0.9756934063051749,355.89453125
186,500,0.0002,8,,0.017972600006032735,35881,0.9765335414286113,0.023466458571388737,202,57,3099,0.08844430491737777,173.46039603960395,33.5,611,4159,0.9755617599453456,357.1015625
135,200,0.00015,4,,0.019210200000088662,35881,0.9918062484323179,0.008193751567682095,149,47,3821,0.10737066906454604,238.83892617449663,31.0,425,3627,0.9755350221065309,355.90234375
128,200,3e-05,8,,0.024131899990607053,35881,0.9989688135782169,0.0010311864217831257,169,40,4134,0.11533311014395715,212.09467455621302,18.0,410,3245,0.9754974176941289,355.890625
185,500,0.0002,4,,0.01977200002875179,35881,0.9765335414286113,0.023466458571388737,239,63,3099,0.08844430491737777,146.60669456066947,31.0,715,4443,0.97547509198937,357.05859375
162,300,0.0002,8,,0.016638899978715926,35881,0.9844207240600875,0.015579275939912485,145,47,3502,0.09914500877639998,243.6,45.0,444,3723,0.9754578503536248,356.96875
161,300,0.0002,4,,0.017166600038763136,35881,0.9844207240600875,0.015579275939912485,165,51,3502,0.09914500877639998,214.07272727272726,38.0,516,3942,0.9754323351914197,356.94140625
232,1000,0.00015,8,,0.020181900006718934,35881,0.9751679161673309,0.024832083832669105,354,72,3080,0.08802515004286939,98.84180790960453,27.5,952,4949,0.9751978166046896,356.89453125
132,200,8e-05,8,,0.020918400026857853,35881,0.9971293999609822,0.0028706000390178454,153,40,4132,0.11548996590083291,233.84313725490196,22.0,393,3186,0.9751598674862354,355.88671875
256,1400,0.00015,8,,0.020703099959064275,35881,0.967113514116106,0.03288648588389398,418,72,2708,0.078038096884816,83.01674641148325,25.0,1023,4924,0.9751566003844504,357.90234375
134,200,0.0001,8,,0.019898600003216416,35881,0.9952063766338731,0.004793623366126876,144,42,4132,0.1157131255425803,247.97916666666666,27.5,386,3294,0.9746834505031499,355.8984375
137,200,0.0002,4,,0.01617030001943931,35881,0.987653632841894,0.012346367158105997,134,47,3821,0.10782211185732829,264.46268656716416,35.0,400,3538,0.9745533367229526,355.890625
233,1000,0.0002,4,,0.01866370002971962,35881,0.9611772247150302,0.0388227752849698,396,72,2658,0.07707028531663188,87.0909090909091,27.0,1052,4921,0.9739641616947655,357.171875
136,200,0.00015,8,,0.01691090001258999,35881,0.9918062484323179,0.008193751567682095,129,42,4132,0.11610981538202153,275.86821705426354,32.0,364,3283,0.9738981151714677,355.90234375
164,300,0.0003,8,,0.01696750003611669,35881,0.9754466152002452,0.024553384799754774,131,47,3502,0.10005714285714286,267.17557251908397,49.0,405,3488,0.9730160048609457,356.9765625
